"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:37:40.9303007 PM","pwsh.exe","9564","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED",""
"9:37:40.9304323 PM","pwsh.exe","9564","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:37:40.9305773 PM","pwsh.exe","9564","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED",""
"9:37:40.9306301 PM","pwsh.exe","9564","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:37:40.9310226 PM","pwsh.exe","9564","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED",""
"9:37:40.9311116 PM","pwsh.exe","9564","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:37:40.9311747 PM","pwsh.exe","9564","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED",""
"9:37:40.9312219 PM","pwsh.exe","9564","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:37:40.9313646 PM","pwsh.exe","9564","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED",""
"9:37:40.9314153 PM","pwsh.exe","9564","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:37:40.9315610 PM","pwsh.exe","9564","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED",""
"9:37:40.9316628 PM","pwsh.exe","9564","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:37:40.9318546 PM","pwsh.exe","9564","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED",""
"9:37:40.9319026 PM","pwsh.exe","9564","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:37:40.9320028 PM","pwsh.exe","9564","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED",""
"9:37:40.9320479 PM","pwsh.exe","9564","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:37:40.9321160 PM","pwsh.exe","9564","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED",""
"9:37:40.9321677 PM","pwsh.exe","9564","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:37:40.9322472 PM","pwsh.exe","9564","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","Desired Access: Generic Read/Write, Disposition: OpenIf, Options: Synchronous IO Non-Alert, Non-Directory File, Open No Recall, Attributes: n/a, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Created"
"9:37:40.9324271 PM","pwsh.exe","9564","QuerySecurityFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","Information: Attribute"
