"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:37:40.9142492 PM","Explorer.EXE","880","ReadFile","C:\Windows\System32\twinui.pcshell.dll","SUCCESS","Offset: 9,342,976, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"9:37:40.9143624 PM","Procmon64.exe","6432","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\56729dc7-a7df-11f1-90dc-7c1e522c351f","NAME NOT FOUND","Length: 528"
"9:37:40.9144617 PM","Procmon64.exe","6432","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\9e814aad-3204-11d2-9a82-006008a86939","SUCCESS","Type: REG_BINARY, Length: 184, Data: 01 00 04 80 14 00 00 00 24 00 00 00 00 00 00 00"
"9:37:40.9146812 PM","System","4","Thread Create","","SUCCESS","Thread ID: 4436"
"9:37:40.9148984 PM","Explorer.EXE","880","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:40.9149371 PM","Explorer.EXE","880","RegOpenKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\CloudExperienceHost","NAME NOT FOUND","Desired Access: Read"
"9:37:40.9149525 PM","Procmon64.exe","6432","Thread Create","","SUCCESS","Thread ID: 8500"
"9:37:40.9150203 PM","Procmon64.exe","6432","Thread Create","","SUCCESS","Thread ID: 7568"
"9:37:40.9150715 PM","Procmon64.exe","6432","Thread Create","","SUCCESS","Thread ID: 9984"
"9:37:40.9151180 PM","Procmon64.exe","6432","Thread Create","","SUCCESS","Thread ID: 7408"
"9:37:40.9151595 PM","Procmon64.exe","6432","Thread Create","","SUCCESS","Thread ID: 5404"
"9:37:40.9152067 PM","Procmon64.exe","6432","Thread Create","","SUCCESS","Thread ID: 848"
"9:37:40.9154008 PM","Procmon64.exe","6432","RegOpenKey","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0","SUCCESS","Desired Access: Read"
"9:37:40.9154351 PM","Procmon64.exe","6432","RegQueryValue","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0\~MHz","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2596"
"9:37:40.9154604 PM","Procmon64.exe","6432","RegCloseKey","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0","SUCCESS",""
"9:37:40.9154893 PM","Procmon64.exe","6432","RegOpenKey","HKLM\System\CurrentControlSet\Control\TimeZoneInformation","REPARSE","Desired Access: Read, Maximum Allowed"
"9:37:40.9155106 PM","Procmon64.exe","6432","RegOpenKey","HKLM\System\CurrentControlSet\Control\TimeZoneInformation","SUCCESS","Desired Access: Read, Maximum Allowed"
"9:37:40.9155464 PM","Procmon64.exe","6432","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\Bias","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"9:37:40.9155678 PM","Procmon64.exe","6432","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\StandardName","SUCCESS","Type: REG_SZ, Length: 32, Data: @tzres.dll,-932"
"9:37:40.9155911 PM","Procmon64.exe","6432","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\StandardBias","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
