"Sequence","Time of Day","Date & Time","Relative Time","Duration","Completion Time","Process Name","PID","TID","Parent PID","Operation","Path","Result","Detail","Event Class","Category","Image Path","Command Line","Company","Description","Version","User","Session","Authentication ID","Integrity","Architecture","Virtualized"
"n/a","9:38:09.6183153 PM","9/3/2026 9:38:09 PM","00:00:00.0043033","0.0000041","9:38:09.6183194 PM","pwsh.exe","3976","2496","9688","QueryNetworkOpenInformationFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","CreationTime: 9/3/2026 9:38:09 PM, LastAccessTime: 9/3/2026 9:38:09 PM, LastWriteTime: 9/3/2026 9:38:09 PM, ChangeTime: 9/3/2026 9:38:09 PM, AllocationSize: 1/1/1601 12:00:00 AM, EndOfFile: 1/1/1601 12:00:00 AM, FileAttributes: A","File System","Read Metadata","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6183496 PM","9/3/2026 9:38:09 PM","00:00:00.0043376","0.0000091","9:38:09.6183587 PM","pwsh.exe","3976","2496","9688","CloseFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6183842 PM","9/3/2026 9:38:09 PM","00:00:00.0043722","0.0000043","9:38:09.6183885 PM","pwsh.exe","3976","2496","9688","IRP_MJ_CLOSE","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6186775 PM","9/3/2026 9:38:09 PM","00:00:00.0046655","0.0000015","9:38:09.6186790 PM","pwsh.exe","3976","2496","9688","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6187597 PM","9/3/2026 9:38:09 PM","00:00:00.0047477","0.0000152","9:38:09.6187749 PM","pwsh.exe","3976","2496","9688","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6187980 PM","9/3/2026 9:38:09 PM","00:00:00.0047860","0.0000026","9:38:09.6188006 PM","pwsh.exe","3976","2496","9688","QueryNetworkOpenInformationFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","CreationTime: 9/3/2026 9:38:09 PM, LastAccessTime: 9/3/2026 9:38:09 PM, LastWriteTime: 9/3/2026 9:38:09 PM, ChangeTime: 9/3/2026 9:38:09 PM, AllocationSize: 1/1/1601 12:00:00 AM, EndOfFile: 1/1/1601 12:00:00 AM, FileAttributes: A","File System","Read Metadata","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6188226 PM","9/3/2026 9:38:09 PM","00:00:00.0048106","0.0000051","9:38:09.6188277 PM","pwsh.exe","3976","2496","9688","CloseFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6188501 PM","9/3/2026 9:38:09 PM","00:00:00.0048381","0.0000034","9:38:09.6188535 PM","pwsh.exe","3976","2496","9688","IRP_MJ_CLOSE","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6189459 PM","9/3/2026 9:38:09 PM","00:00:00.0049339","0.0000010","9:38:09.6189469 PM","pwsh.exe","3976","2496","9688","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6190190 PM","9/3/2026 9:38:09 PM","00:00:00.0050070","0.0000105","9:38:09.6190295 PM","pwsh.exe","3976","2496","9688","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6190506 PM","9/3/2026 9:38:09 PM","00:00:00.0050386","0.0000024","9:38:09.6190530 PM","pwsh.exe","3976","2496","9688","QueryNetworkOpenInformationFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","CreationTime: 9/3/2026 9:38:09 PM, LastAccessTime: 9/3/2026 9:38:09 PM, LastWriteTime: 9/3/2026 9:38:09 PM, ChangeTime: 9/3/2026 9:38:09 PM, AllocationSize: 1/1/1601 12:00:00 AM, EndOfFile: 1/1/1601 12:00:00 AM, FileAttributes: A","File System","Read Metadata","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6190749 PM","9/3/2026 9:38:09 PM","00:00:00.0050629","0.0000048","9:38:09.6190797 PM","pwsh.exe","3976","2496","9688","CloseFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6191020 PM","9/3/2026 9:38:09 PM","00:00:00.0050900","0.0000032","9:38:09.6191052 PM","pwsh.exe","3976","2496","9688","IRP_MJ_CLOSE","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6193176 PM","9/3/2026 9:38:09 PM","00:00:00.0053056","0.0000014","9:38:09.6193190 PM","pwsh.exe","3976","2496","9688","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6193980 PM","9/3/2026 9:38:09 PM","00:00:00.0053860","0.0000133","9:38:09.6194113 PM","pwsh.exe","3976","2496","9688","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6194324 PM","9/3/2026 9:38:09 PM","00:00:00.0054204","0.0000023","9:38:09.6194347 PM","pwsh.exe","3976","2496","9688","QueryNetworkOpenInformationFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","CreationTime: 9/3/2026 9:38:09 PM, LastAccessTime: 9/3/2026 9:38:09 PM, LastWriteTime: 9/3/2026 9:38:09 PM, ChangeTime: 9/3/2026 9:38:09 PM, AllocationSize: 1/1/1601 12:00:00 AM, EndOfFile: 1/1/1601 12:00:00 AM, FileAttributes: A","File System","Read Metadata","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6194554 PM","9/3/2026 9:38:09 PM","00:00:00.0054434","0.0000049","9:38:09.6194603 PM","pwsh.exe","3976","2496","9688","CloseFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6194822 PM","9/3/2026 9:38:09 PM","00:00:00.0054702","0.0000028","9:38:09.6194850 PM","pwsh.exe","3976","2496","9688","IRP_MJ_CLOSE","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6276992 PM","9/3/2026 9:38:09 PM","00:00:00.0136872","0.0000019","9:38:09.6277011 PM","pwsh.exe","3976","2496","9688","QueryOpen","C:\wf-procmon-facts\97c63ab1\f00038.txt","FAST IO DISALLOWED","","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:09.6278537 PM","9/3/2026 9:38:09 PM","00:00:00.0138417","0.0000167","9:38:09.6278704 PM","pwsh.exe","3976","2496","9688","CreateFile","C:\wf-procmon-facts\97c63ab1\f00038.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","File System","","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -File D:\a\win-forensics\win-forensics\out\load-97c63ab1.ps1","Microsoft Corporation","PowerShell 7","7.6.5.500","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
