"Sequence","Time of Day","Date & Time","Relative Time","Duration","Completion Time","Process Name","PID","TID","Parent PID","Operation","Path","Result","Detail","Event Class","Category","Image Path","Command Line","Company","Description","Version","User","Session","Authentication ID","Integrity","Architecture","Virtualized"
"n/a","9:38:25.5319130 PM","9/3/2026 9:38:25 PM","00:00:00.0000000","0.0000554","9:38:25.5319684 PM","Procmon64.exe","1628","1896","9688","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\56729dd5-a7df-11f1-90dc-7c1e522c351f","NAME NOT FOUND","Length: 528","Registry","Read","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\C.pml /Runtime 10 /NoFilter /RingBuffer /RingBufferSize 1","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:25.5320567 PM","9/3/2026 9:38:25 PM","00:00:00.0001437","0.0000084","9:38:25.5320651 PM","Procmon64.exe","1628","1896","9688","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\9e814aad-3204-11d2-9a82-006008a86939","SUCCESS","Type: REG_BINARY, Length: 184, Data: 01 00 04 80 14 00 00 00 24 00 00 00 00 00 00 00","Registry","Read","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\C.pml /Runtime 10 /NoFilter /RingBuffer /RingBufferSize 1","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:25.5322125 PM","9/3/2026 9:38:25 PM","00:00:00.0002995","0.0000000","9:38:25.5322125 PM","System","4","1896","0","Thread Create","","SUCCESS","Thread ID: 1972","Process","","System","","Microsoft Corporation","System","10.0.1126.37416","NT AUTHORITY\SYSTEM","0","00000000:000003e7","System","64-bit","False"
"n/a","9:38:25.5326397 PM","9/3/2026 9:38:25 PM","00:00:00.0007267","0.0000000","9:38:25.5326397 PM","Procmon64.exe","1628","1896","9688","Thread Create","","SUCCESS","Thread ID: 5052","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\C.pml /Runtime 10 /NoFilter /RingBuffer /RingBufferSize 1","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:25.5326999 PM","9/3/2026 9:38:25 PM","00:00:00.0007869","0.0000000","9:38:25.5326999 PM","Procmon64.exe","1628","1896","9688","Thread Create","","SUCCESS","Thread ID: 1960","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\C.pml /Runtime 10 /NoFilter /RingBuffer /RingBufferSize 1","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:25.5327378 PM","9/3/2026 9:38:25 PM","00:00:00.0008248","0.0000000","9:38:25.5327378 PM","Procmon64.exe","1628","1896","9688","Thread Create","","SUCCESS","Thread ID: 5432","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\C.pml /Runtime 10 /NoFilter /RingBuffer /RingBufferSize 1","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:25.5327950 PM","9/3/2026 9:38:25 PM","00:00:00.0008820","0.0000000","9:38:25.5327950 PM","Procmon64.exe","1628","1896","9688","Thread Create","","SUCCESS","Thread ID: 9280","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\C.pml /Runtime 10 /NoFilter /RingBuffer /RingBufferSize 1","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:25.5328288 PM","9/3/2026 9:38:25 PM","00:00:00.0009158","0.0000000","9:38:25.5328288 PM","Procmon64.exe","1628","1896","9688","Thread Create","","SUCCESS","Thread ID: 1700","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\C.pml /Runtime 10 /NoFilter /RingBuffer /RingBufferSize 1","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:25.5328633 PM","9/3/2026 9:38:25 PM","00:00:00.0009503","0.0000000","9:38:25.5328633 PM","Procmon64.exe","1628","1896","9688","Thread Create","","SUCCESS","Thread ID: 7668","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\C.pml /Runtime 10 /NoFilter /RingBuffer /RingBufferSize 1","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:25.5329565 PM","9/3/2026 9:38:25 PM","00:00:00.0010435","0.0000130","9:38:25.5329695 PM","Procmon64.exe","1628","5052","9688","RegOpenKey","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0","SUCCESS","Desired Access: Read","Registry","Read","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\C.pml /Runtime 10 /NoFilter /RingBuffer /RingBufferSize 1","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
