"Sequence","Time of Day","Date & Time","Relative Time","Duration","Completion Time","Process Name","PID","TID","Parent PID","Operation","Path","Result","Detail","Event Class","Category","Image Path","Command Line","Company","Description","Version","User","Session","Authentication ID","Integrity","Architecture","Virtualized"
"n/a","9:38:46.9129509 PM","9/3/2026 9:38:46 PM","00:00:00.0000000","0.0000656","9:38:46.9130165 PM","Procmon64.exe","8372","2228","9688","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\56729ddc-a7df-11f1-90dc-7c1e522c351f","NAME NOT FOUND","Length: 528","Registry","Read","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\D.pml /Runtime 10 /NoFilter","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:46.9130682 PM","9/3/2026 9:38:46 PM","00:00:00.0001173","0.0000037","9:38:46.9130719 PM","Procmon64.exe","8372","2228","9688","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\9e814aad-3204-11d2-9a82-006008a86939","SUCCESS","Type: REG_BINARY, Length: 184, Data: 01 00 04 80 14 00 00 00 24 00 00 00 00 00 00 00","Registry","Read","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\D.pml /Runtime 10 /NoFilter","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:46.9132212 PM","9/3/2026 9:38:46 PM","00:00:00.0002703","0.0000000","9:38:46.9132212 PM","System","4","2228","0","Thread Create","","SUCCESS","Thread ID: 3236","Process","","System","","Microsoft Corporation","System","10.0.1126.37416","NT AUTHORITY\SYSTEM","0","00000000:000003e7","System","64-bit","False"
"n/a","9:38:46.9134356 PM","9/3/2026 9:38:46 PM","00:00:00.0004847","0.0000000","9:38:46.9134356 PM","Procmon64.exe","8372","2228","9688","Thread Create","","SUCCESS","Thread ID: 3532","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\D.pml /Runtime 10 /NoFilter","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:46.9134982 PM","9/3/2026 9:38:46 PM","00:00:00.0005473","0.0000000","9:38:46.9134982 PM","Procmon64.exe","8372","2228","9688","Thread Create","","SUCCESS","Thread ID: 960","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\D.pml /Runtime 10 /NoFilter","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:46.9135424 PM","9/3/2026 9:38:46 PM","00:00:00.0005915","0.0000000","9:38:46.9135424 PM","Procmon64.exe","8372","2228","9688","Thread Create","","SUCCESS","Thread ID: 840","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\D.pml /Runtime 10 /NoFilter","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:46.9135869 PM","9/3/2026 9:38:46 PM","00:00:00.0006360","0.0000000","9:38:46.9135869 PM","Procmon64.exe","8372","2228","9688","Thread Create","","SUCCESS","Thread ID: 5920","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\D.pml /Runtime 10 /NoFilter","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:46.9136209 PM","9/3/2026 9:38:46 PM","00:00:00.0006700","0.0000000","9:38:46.9136209 PM","Procmon64.exe","8372","2228","9688","Thread Create","","SUCCESS","Thread ID: 3384","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\D.pml /Runtime 10 /NoFilter","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:46.9136572 PM","9/3/2026 9:38:46 PM","00:00:00.0007063","0.0000000","9:38:46.9136572 PM","Procmon64.exe","8372","2228","9688","Thread Create","","SUCCESS","Thread ID: 3968","Process","","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\D.pml /Runtime 10 /NoFilter","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
"n/a","9:38:46.9137106 PM","9/3/2026 9:38:46 PM","00:00:00.0007597","0.0000136","9:38:46.9137242 PM","Procmon64.exe","8372","3532","9688","RegOpenKey","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0","SUCCESS","Desired Access: Read","Registry","Read","D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe","""D:\a\win-forensics\win-forensics\tools\ProcessMonitor\Procmon64.exe"" /AcceptEula /Quiet /Minimized /BackingFile D:\a\win-forensics\win-forensics\out\D.pml /Runtime 10 /NoFilter","Sysinternals - www.sysinternals.com","Process Monitor","4.1","runnervmeef0v\runneradmin","2","00000000:000d67f1","High","64-bit","False"
